# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch 192 | Survival: 0.20 | Target: 0.20 | Reward A: 39.843
Epoch 193 | Survival: 0.10 | Target: 0.10 | Reward A: 70.576
Epoch 194 | Survival: 0.20 | Target: 0.20 | Reward A: 53.300
Epoch 195 | Survival: 0.00 | Target: 0.00 | Reward A: 58.826
Epoch 196 | Survival: 0.80 | Target: 0.80 | Reward A: 21.985
Epoch 197 | Survival: 0.00 | Target: 0.00 | Reward A: 76.783
Epoch 198 | Survival: 0.00 | Target: 0.00 | Reward A: 30.703
Epoch 199 | Survival: 0.30 | Target: 0.30 | Reward A: 54.067
Epoch 200 | Survival: 0.00 | Target: 0.00 | Reward A: 49.820
Epoch 201 | Survival: 0.40 | Target: 0.40 | Reward A: 54.342
Epoch 202 | Survival: 0.10 | Target: 0.10 | Reward A: 45.250
Epoch 203 | Survival: 0.40 | Target: 0.40 | Reward A: 38.387
Epoch 204 | Survival: 0.10 | Target: 0.10 | Reward A: 41.872
Epoch 205 | Survival: 0.10 | Target: 0.10 | Reward A: 60.929
Epoch 206 | Survival: 0.10 | Target: 0.10 | Reward A: 39.203
Epoch 207 | Survival: 0.00 | Target: 0.00 | Reward A: 50.203
Epoch 208 | Survival: 0.40 | Target: 0.40 | Reward A: 46.742
Epoch 209 | Survival: 0.00 | Target: 0.00 | Reward A: 41.581
Epoch 210 | Survival: 0.10 | Target: 0.10 | Reward A: 49.371
Epoch 211 | Survival: 0.40 | Target: 0.40 | Reward A: 44.772
Epoch 212 | Survival: 0.00 | Target: 0.00 | Reward A: 61.515
Epoch 213 | Survival: 0.40 | Target: 0.40 | Reward A: 52.728
Epoch 214 | Survival: 0.40 | Target: 0.40 | Reward A: 39.925
Epoch 215 | Survival: 0.10 | Target: 0.10 | Reward A: 57.767
Epoch 216 | Survival: 0.30 | Target: 0.30 | Reward A: 12.533
Epoch 217 | Survival: 0.00 | Target: 0.00 | Reward A: 64.044
Epoch 218 | Survival: 0.30 | Target: 0.30 | Reward A: 54.839
Epoch 219 | Survival: 0.00 | Target: 0.00 | Reward A: 36.457
Epoch 220 | Survival: 0.00 | Target: 0.00 | Reward A: 70.101
